,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1562,초등학교,거여초등학교,서울특별시 송파구 마천로25길 18,서울특별시 송파구 오금동 108-1,37.5051694170,127.1409872048,서울특별시 송파구청,송파경찰서,Y,3,7~12,2020-02-20,3230000,서울특별시 송파구
1563,초등학교,거원초등학교,서울특별시 송파구 양산로2길 26,서울특별시 송파구 거여2동 296-1,37.4876238568,127.1449343187,서울특별시 송파구청,송파경찰서,Y,2,8~20,2020-02-20,3230000,서울특별시 송파구
1564,초등학교,남천초등학교,서울특별시 송파구 성내천로 200,서울특별시 송파구 마천2동 53,37.5005356,127.1501433,서울특별시 송파구청,송파경찰서,Y,5,6~24,2020-02-20,3230000,서울특별시 송파구
1565,초등학교,아현초교,서울특별시 마포구 굴레방로 6,서울특별시 마포구 아현동 267-3번지,37.5558312701,126.9562424291,마포구청,마포경찰서,Y,3,15.5,2020-05-19,3130000,서울특별시 마포구
1566,초등학교,소의초교,서울특별시 마포구 마포대로24길 42,서울특별시 마포구 아현동 386-1번지,37.5527802434,126.9606578163,마포구청,마포경찰서,Y,1,4.9,2020-05-19,3130000,서울특별시 마포구
1567,초등학교,공덕초교,서울특별시 마포구 만리재옛길 13,서울특별시 마포구 공덕동 256-4번지,37.5458044265,126.9548224900,마포구청,마포경찰서,Y,4,6.0~8.3,2020-05-19,3130000,서울특별시 마포구
1568,유치원,공덕초교병설유치원,서울특별시 마포구 만리재옛길 13,서울특별시 마포구 공덕동 256-4번지,37.5458044265,126.9548224900,마포구청,마포경찰서,Y,4,6.0~8.3,2020-05-19,3130000,서울특별시 마포구
1569,초등학교,마포초교,서울특별시 마포구 도화2길 64,서울특별시 마포구 도화동 224-9번지,37.5386016165,126.9498166477,마포구청,마포경찰서,Y,3,4.6~8.5,2020-05-19,3130000,서울특별시 마포구
1570,유치원,마포초교병설유치원,서울특별시 마포구 도화2길 64,서울특별시 마포구 도화동 224-9번지,37.5386016165,126.9498166477,마포구청,마포경찰서,Y,3,4.6~8.5,2020-05-19,3130000,서울특별시 마포구
1571,유치원,삼성그린유치원,서울특별시 마포구 도화4길 62,서울특별시 마포구 도화동 550번지,37.5395033569,126.9515902236,마포구청,마포경찰서,Y,1,4.6~8.5,2020-05-19,3130000,서울특별시 마포구
