기간,자치구,동,인구,면적,인구밀도
2020,중랑구,면목5동,14661,0.7,20944
2020,중랑구,면목7동,22714,1.2,18928
2020,중랑구,상봉1동,24912,0.88,28309
2020,중랑구,상봉2동,20214,0.65,31098
2020,중랑구,중화1동,20400,0.64,31875
2020,중랑구,중화2동,26073,1.01,25815
2020,중랑구,묵1동,35588,1.2,29657
2020,중랑구,묵2동,19672,0.67,29361
2020,중랑구,망우3동,17508,0.92,19030
2020,중랑구,신내1동,39831,2.56,15559
2020,중랑구,신내2동,21302,0.93,22905
2020,중랑구,면목본동,35424,0.84,42171
2020,중랑구,면목3.8동,25995,1.63,15948
2020,중랑구,망우본동,30784,3.03,10160
2020,성북구,소계,447056,24.58,18190
2020,성북구,돈암1동,15379,0.49,31386
2020,성북구,돈암2동,24686,0.48,51429
2020,성북구,안암동,16580,1.33,12466
2020,성북구,보문동,16123,0.56,28791
2020,성북구,정릉1동,18929,0.44,43020
2020,성북구,정릉2동,23736,1.17,20287
2020,성북구,정릉3동,16847,3.71,4541
2020,성북구,정릉4동,25993,3.13,8304
2020,성북구,길음1동,36568,0.79,46289
2020,성북구,길음2동,17167,0.58,29598
2020,성북구,월곡1동,27108,0.81,33467
2020,성북구,월곡2동,20396,1.36,14997
2020,성북구,장위1동,20449,0.7,29213
2020,성북구,장위2동,14106,0.67,21054
2020,성북구,장위3동,17359,0.65,26706
2020,성북구,성북동,17404,2.86,6085
2020,성북구,삼선동,24144,0.92,26243
2020,성북구,동선동,16246,0.73,22255
2020,성북구,종암동,41353,1.46,28324
2020,성북구,석관동,36483,1.73,21088
2020,강북구,소계,311569,23.6,13202
2020,강북구,번1동,19441,0.66,29456
2020,강북구,번2동,16544,0.95,17415
2020,강북구,번3동,17605,1.1,16005
2020,강북구,수유1동,21468,1.67,12855
2020,강북구,수유2동,21595,0.57,37886
2020,강북구,수유3동,23907,0.72,33204
2020,강북구,삼양동,24742,0.91,27189
2020,강북구,미아동,22723,0.93,24433
2020,강북구,송중동,30934,1.01,30628
2020,강북구,송천동,27871,0.9,30968
2020,강북구,삼각산동,32118,0.62,51803
2020,강북구,우이동,21076,10.28,2050
2020,강북구,인수동,31545,3.28,9617
2020,도봉구,소계,327361,20.65,15852
2020,도봉구,쌍문1동,22016,1.24,17755
2020,도봉구,쌍문2동,19406,0.54,35937
2020,도봉구,쌍문3동,16922,0.5,33844
2020,도봉구,쌍문4동,19297,0.52,37110
2020,도봉구,방학1동,29236,0.69,42371
