시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,인구밀도,범죄총계(구),범죄발생비율
강원도,화천군,화천읍,0.0,8664.0,4.0,0.0,0.01,596.0,3.31
강원도,화천군,간동면,0.0,2827.0,4.0,0.0,0.0,596.0,1.08
강원도,화천군,하남면,0.0,2875.0,5.0,0.0,0.0,596.0,1.1
강원도,화천군,상서면,0.0,4236.0,8.0,0.0,0.0,596.0,1.62
강원도,화천군,사내면,0.0,6740.0,7.0,0.0,0.0,596.0,2.57
강원도,횡성군,횡성읍,0.0,21273.0,6.0,0.0,0.01,128.0,1.74
강원도,횡성군,우천면,0.0,4703.0,3.0,0.0,0.0,128.0,0.39
강원도,횡성군,안흥면,0.0,3153.0,2.0,0.0,0.0,128.0,0.26
강원도,횡성군,둔내면,0.0,5872.0,1.0,0.0,0.0,128.0,0.48
강원도,횡성군,갑천면,0.0,2362.0,1.0,0.0,0.0,128.0,0.19
강원도,횡성군,청일면,0.0,2431.0,1.0,0.0,0.0,128.0,0.2
강원도,횡성군,공근면,0.0,3626.0,2.0,0.0,0.0,128.0,0.3
강원도,횡성군,서원면,0.0,2165.0,2.0,0.0,0.0,128.0,0.18
강원도,횡성군,강림면,0.0,1755.0,1.0,0.0,0.0,128.0,0.14
경기도,가평군,가평읍,1.0,10052.0,6.0,0.0,0.31,1584.0,490.02
경기도,가평군,설악면,1.0,5002.0,4.0,0.0,0.15,1584.0,243.84
경기도,가평군,청평면(외서면),0.0,7270.0,4.0,0.0,0.22,1584.0,354.4
경기도,가평군,상면,1.0,2903.0,3.0,0.0,0.09,1584.0,141.52
경기도,가평군,조종면,1.0,5204.0,1.0,0.0,0.16,1584.0,253.69
경기도,가평군,북면,1.0,2062.0,2.0,0.0,0.06,1584.0,100.52
광주광역시,광산구,송정1동,0.0,11615.0,2.0,0.0,0.01,3201.0,25.12
광주광역시,광산구,송정2동,0.0,6870.0,3.0,0.0,0.0,3201.0,14.86
광주광역시,광산구,도산동,1.0,16382.0,14.0,0.0,0.01,3201.0,35.42
광주광역시,광산구,신흥동,0.0,4972.0,0.0,0.0,0.0,3201.0,10.75
광주광역시,광산구,어룡동,0.0,34436.0,0.0,0.0,0.02,3201.0,74.46
광주광역시,광산구,우산동,1.0,24767.0,8.0,0.0,0.02,3201.0,53.56
광주광역시,광산구,월곡1동,0.0,13198.0,7.0,0.0,0.01,3201.0,28.54
광주광역시,광산구,월곡2동,0.0,20417.0,8.0,0.0,0.01,3201.0,44.15
광주광역시,광산구,비아동,1.0,7905.0,11.0,0.0,0.01,3201.0,17.09
광주광역시,광산구,첨단1동,0.0,26073.0,0.0,0.0,0.02,3201.0,56.38
광주광역시,광산구,첨단2동,0.0,44762.0,0.0,0.0,0.03,3201.0,96.79
광주광역시,광산구,신가동,1.0,22049.0,18.0,0.0,0.01,3201.0,47.68
광주광역시,광산구,운남동,1.0,31745.0,21.0,0.0,0.02,3201.0,68.65
광주광역시,광산구,신창동,1.0,34769.0,15.0,0.0,0.02,3201.0,75.18
광주광역시,광산구,수완동,0.0,79513.0,13.0,0.0,0.05,3201.0,171.94
광주광역시,광산구,하남동,0.0,25118.0,4.0,0.0,0.02,3201.0,54.32
광주광역시,광산구,임곡동,0.0,2239.0,2.0,0.0,0.0,3201.0,4.84
광주광역시,광산구,동곡동,0.0,2063.0,0.0,0.0,0.0,3201.0,4.46
광주광역시,광산구,평동,0.0,5412.0,0.0,0.0,0.0,3201.0,11.7
광주광역시,광산구,삼도동,0.0,2354.0,1.0,0.0,0.0,3201.0,5.09
광주광역시,광산구,본량동,0.0,2117.0,0.0,0.0,0.0,3201.0,4.58
광주광역시,남구,양림동,0.0,7592.0,2.0,0.0,0.01,1627.0,8.34
광주광역시,남구,방림1동,0.0,7274.0,2.0,0.0,0.0,1627.0,7.99
광주광역시,남구,방림2동,0.0,9421.0,3.0,0.0,0.01,1627.0,10.35
광주광역시,남구,봉선1동,0.0,15122.0,6.0,0.0,0.01,1627.0,16.62
광주광역시,남구,봉선2동,0.0,29602.0,6.0,0.0,0.02,1627.0,32.54
광주광역시,남구,사직동,1.0,5669.0,0.0,0.0,0.0,1627.0,6.23
광주광역시,남구,월산동,0.0,8005.0,1.0,0.0,0.01,1627.0,8.8
광주광역시,남구,월산4동,0.0,9225.0,1.0,0.0,0.01,1627.0,10.14
광주광역시,남구,월산5동,0.0,6830.0,1.0,0.0,0.0,1627.0,7.51
광주광역시,남구,백운1동,0.0,13019.0,1.0,0.0,0.01,1627.0,14.31
광주광역시,남구,백운2동,0.0,6311.0,2.0,0.0,0.0,1627.0,6.94
광주광역시,남구,주월1동,0.0,20184.0,6.0,0.0,0.01,1627.0,22.18
광주광역시,남구,주월2동,0.0,8698.0,6.0,0.0,0.01,1627.0,9.56
광주광역시,남구,효덕동,1.0,47590.0,0.0,0.0,0.03,1627.0,52.31
광주광역시,남구,송암동,0.0,19302.0,0.0,0.0,0.01,1627.0,21.21
광주광역시,남구,대촌동,1.0,5769.0,0.0,0.0,0.0,1627.0,6.34
광주광역시,동구,충장동,0.0,4502.0,0.0,0.0,0.0,1581.0,4.81
광주광역시,동구,동명동,0.0,4066.0,1.0,0.0,0.0,1581.0,4.34
광주광역시,동구,계림1동,0.0,6108.0,4.0,0.0,0.0,1581.0,6.52
광주광역시,동구,계림2동,0.0,8271.0,4.0,0.0,0.01,1581.0,8.83
광주광역시,동구,산수1동,0.0,8900.0,5.0,0.0,0.01,1581.0,9.51
광주광역시,동구,산수2동,0.0,10764.0,5.0,0.0,0.01,1581.0,11.5
광주광역시,동구,지산1동,0.0,4818.0,2.0,0.0,0.0,1581.0,5.15
광주광역시,동구,지산2동,0.0,5086.0,2.0,0.0,0.0,1581.0,5.43
광주광역시,동구,서남동,0.0,3787.0,0.0,0.0,0.0,1581.0,4.04
광주광역시,동구,학동,0.0,8629.0,3.0,0.0,0.01,1581.0,9.22
광주광역시,동구,학운동,0.0,12387.0,0.0,0.0,0.01,1581.0,13.23
광주광역시,동구,지원1동,0.0,8266.0,0.0,0.0,0.01,1581.0,8.83
광주광역시,동구,지원2동,0.0,14920.0,0.0,0.0,0.01,1581.0,15.94
광주광역시,북구,중흥1동,0.0,4978.0,2.0,0.0,0.0,3785.0,12.73
광주광역시,북구,중흥2동,0.0,7074.0,2.0,0.0,0.0,3785.0,18.09
광주광역시,북구,중흥3동,0.0,4814.0,3.0,0.0,0.0,3785.0,12.31
광주광역시,북구,중앙동,0.0,3387.0,0.0,0.0,0.0,3785.0,8.66
광주광역시,북구,임동,0.0,8362.0,4.0,0.0,0.01,3785.0,21.38
광주광역시,북구,신안동,0.0,11009.0,2.0,0.0,0.01,3785.0,28.15
광주광역시,북구,용봉동,0.0,40651.0,13.0,0.0,0.03,3785.0,103.94
광주광역시,북구,운암1동,0.0,20146.0,4.0,0.0,0.01,3785.0,51.51
광주광역시,북구,운암2동,0.0,12985.0,4.0,0.0,0.01,3785.0,33.2
광주광역시,북구,운암3동,0.0,15042.0,5.0,0.0,0.01,3785.0,38.46
광주광역시,북구,동림동,0.0,22990.0,6.0,0.0,0.02,3785.0,58.78
광주광역시,북구,우산동,0.0,11272.0,4.0,0.0,0.01,3785.0,28.82
광주광역시,북구,풍향동,0.0,6190.0,3.0,0.0,0.0,3785.0,15.83
광주광역시,북구,문화동,0.0,19346.0,0.0,0.0,0.01,3785.0,49.47
광주광역시,북구,문흥1동,0.0,17010.0,8.0,0.0,0.01,3785.0,43.49
광주광역시,북구,문흥2동,0.0,16835.0,8.0,0.0,0.01,3785.0,43.05
광주광역시,북구,두암1동,0.0,8228.0,4.0,0.0,0.01,3785.0,21.04
광주광역시,북구,두암2동,0.0,17055.0,4.0,0.0,0.01,3785.0,43.61
광주광역시,북구,두암3동,0.0,14476.0,5.0,0.0,0.01,3785.0,37.01
광주광역시,북구,삼각동,0.0,14801.0,10.0,0.0,0.01,3785.0,37.85
광주광역시,북구,일곡동,0.0,31397.0,16.0,0.0,0.02,3785.0,80.28
광주광역시,북구,매곡동,0.0,14558.0,8.0,0.0,0.01,3785.0,37.22
광주광역시,북구,오치1동,0.0,12203.0,10.0,0.0,0.01,3785.0,31.2
광주광역시,북구,오치2동,0.0,13113.0,10.0,0.0,0.01,3785.0,33.53
광주광역시,북구,석곡동,0.0,2767.0,0.0,0.0,0.0,3785.0,7.08
광주광역시,북구,건국동,0.0,51598.0,0.0,0.0,0.03,3785.0,131.93
광주광역시,북구,양산동,0.0,36447.0,13.0,0.0,0.02,3785.0,93.19
광주광역시,서구,양동,0.0,4214.0,3.0,0.0,0.0,3451.0,9.82
광주광역시,서구,양3동,0.0,4905.0,0.0,0.0,0.0,3451.0,11.44
광주광역시,서구,농성1동,0.0,11049.0,2.0,0.0,0.01,3451.0,25.76
광주광역시,서구,농성2동,0.0,5338.0,2.0,0.0,0.0,3451.0,12.44
광주광역시,서구,광천동,0.0,8600.0,4.0,0.0,0.01,3451.0,20.05
광주광역시,서구,유덕동,0.0,11155.0,0.0,0.0,0.01,3451.0,26.01
광주광역시,서구,치평동,0.0,31302.0,6.0,0.0,0.02,3451.0,72.97
광주광역시,서구,상무1동,0.0,25407.0,0.0,0.0,0.02,3451.0,59.23
광주광역시,서구,상무2동,0.0,24698.0,0.0,0.0,0.02,3451.0,57.58
광주광역시,서구,화정1동,0.0,15626.0,4.0,0.0,0.01,3451.0,36.43
광주광역시,서구,화정2동,0.0,21373.0,4.0,0.0,0.01,3451.0,49.83
광주광역시,서구,화정3동,0.0,10675.0,5.0,0.0,0.01,3451.0,24.89
광주광역시,서구,화정4동,0.0,16243.0,5.0,0.0,0.01,3451.0,37.87
광주광역시,서구,서창동,0.0,5321.0,0.0,0.0,0.0,3451.0,12.4
광주광역시,서구,금호1동,0.0,21383.0,10.0,0.0,0.01,3451.0,49.85
광주광역시,서구,금호2동,0.0,29651.0,11.0,0.0,0.02,3451.0,69.13
광주광역시,서구,풍암동,0.0,38587.0,11.0,0.0,0.03,3451.0,89.96
광주광역시,서구,동천동,0.0,17139.0,3.0,0.0,0.01,3451.0,39.96
부산광역시,서구,동대신1동,1.0,4769.0,1.0,0.0,0.04,1207.0,51.11
부산광역시,서구,동대신2동,1.0,8225.0,0.0,0.0,0.07,1207.0,88.15
부산광역시,서구,동대신3동,1.0,6956.0,2.0,0.0,0.06,1207.0,74.55
부산광역시,서구,서대신1동,1.0,12051.0,1.0,0.0,0.11,1207.0,129.15
부산광역시,서구,서대신3동,1.0,8991.0,4.0,0.0,0.08,1207.0,96.36
부산광역시,서구,서대신4동,0.0,8250.0,0.0,0.0,0.07,1207.0,88.42
부산광역시,서구,부민동,1.0,8337.0,4.0,0.0,0.07,1207.0,89.35
부산광역시,서구,아미동,1.0,8071.0,2.0,0.0,0.07,1207.0,86.5
부산광역시,서구,초장동,1.0,5109.0,0.0,0.0,0.05,1207.0,54.76
부산광역시,서구,충무동,1.0,10435.0,0.0,0.0,0.09,1207.0,111.84
부산광역시,서구,남부민1동,0.0,5412.0,2.0,0.0,0.05,1207.0,58.0
부산광역시,서구,남부민2동,0.0,10544.0,5.0,0.0,0.09,1207.0,113.0
부산광역시,서구,암남동,1.0,15471.0,3.0,0.0,0.14,1207.0,165.81
서울특별시,강남구,신사동,0.0,16914.0,3.0,47.0,0.0,6638.0,11.26
서울특별시,강남구,논현동,0.0,45731.0,7.0,77.0,0.0,6638.0,30.43
서울특별시,강남구,삼성동,0.0,43968.0,10.0,51.0,0.0,6638.0,29.26
서울특별시,강남구,대치동,0.0,83418.0,16.0,56.0,0.01,6638.0,55.52
서울특별시,강남구,역삼동,0.0,74062.0,6.0,121.0,0.01,6638.0,49.29
서울특별시,강남구,도곡동,0.0,56269.0,5.0,21.0,0.01,6638.0,37.45
서울특별시,강남구,개포동,0.0,51732.0,15.0,45.0,0.01,6638.0,34.43
서울특별시,강남구,일원동,0.0,57481.0,10.0,19.0,0.01,6638.0,38.25
서울특별시,강남구,수서동,0.0,15299.0,7.0,10.0,0.0,6638.0,10.18
서울특별시,강남구,세곡동,0.0,44475.0,3.0,6.0,0.0,6638.0,29.6
서울특별시,강남구,압구정동,0.0,27440.0,3.0,8.0,0.0,6638.0,18.26
서울특별시,강남구,청담동,0.0,27266.0,9.0,34.0,0.0,6638.0,18.15
서울특별시,강동구,강일동,0.0,35778.0,8.0,14.0,0.0,3834.0,13.75
서울특별시,강동구,상일동,0.0,33345.0,20.0,16.0,0.0,3834.0,12.82
서울특별시,강동구,명일동,0.0,43932.0,18.0,20.0,0.0,3834.0,16.89
서울특별시,강동구,고덕동,0.0,48671.0,20.0,19.0,0.0,3834.0,18.71
서울특별시,강동구,암사동,0.0,69655.0,28.0,35.0,0.01,3834.0,26.77
