시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
강원도,철원군,김화읍,0.0,3947.0,3.0,0.0,0.0,8.337831689366894e-05
강원도,철원군,갈말읍,0.0,12813.0,7.0,0.0,1.0,0.0002702607513105131
강원도,철원군,동송읍,0.0,16361.0,7.0,0.0,1.0,0.00034501372507725076
강원도,철원군,서면,0.0,6183.0,5.0,0.0,0.0,0.00013009892549787998
강원도,철원군,근남면,0.0,2477.0,1.0,0.0,0.0,5.2470837355498556e-05
강원도,철원군,근북면,0.0,113.0,0.0,0.0,0.0,2.1563357817328174e-06
강원도,춘천시,신북읍,1.0,8080.0,10.0,0.0,0.0,6.828396642153921e-05
강원도,춘천시,동면,1.0,20120.0,8.0,0.0,0.0,0.00017035052675689257
강원도,춘천시,동산면,1.0,1560.0,1.0,0.0,0.0,1.2938014690396905e-05
강원도,춘천시,신동면,1.0,2594.0,3.0,0.0,0.0,2.2282136411239114e-05
강원도,춘천시,남면,0.0,1123.0,0.0,0.0,0.0,9.344121720842209e-06
강원도,춘천시,서면,1.0,4071.0,6.0,0.0,1.0,3.450137250772508e-05
강원도,춘천시,사북면,1.0,2674.0,4.0,0.0,0.0,2.300091500515005e-05
강원도,춘천시,북산면,0.0,992.0,2.0,0.0,1.0,8.62534312693127e-06
강원도,춘천시,동내면,1.0,17901.0,6.0,0.0,0.0,0.00015166228331520815
강원도,춘천시,남산면,0.0,3742.0,6.0,0.0,1.0,3.162625813208132e-05
강원도,춘천시,교동,1.0,4369.0,2.0,0.0,0.0,3.66577082894579e-05
강원도,춘천시,조운동,0.0,3231.0,0.0,0.0,0.0,2.7313586568615688e-05
강원도,춘천시,약사명동,0.0,2758.0,2.0,0.0,0.0,2.3719693599060993e-05
강원도,춘천시,근화동,1.0,9196.0,1.0,0.0,0.0,7.762808814238142e-05
강원도,춘천시,소양동,0.0,10931.0,1.0,0.0,0.0,9.272243861451115e-05
강원도,춘천시,후평1동,0.0,13013.0,3.0,0.0,0.0,0.00010997312486837368
강원도,춘천시,후평2동,0.0,15730.0,4.0,0.0,0.0,0.00013297403987352373
강원도,춘천시,후평3동,0.0,18286.0,4.0,0.0,0.0,0.0001545373976908519
강원도,춘천시,효자1동,0.0,5073.0,2.0,0.0,0.0,4.3126715634656345e-05
강원도,춘천시,효자2동,0.0,12918.0,2.0,0.0,0.0,0.00010925434627446275
강원도,춘천시,효자3동,0.0,5335.0,2.0,0.0,0.0,4.5283051416389165e-05
강원도,춘천시,석사동,1.0,38051.0,6.0,0.0,0.0,0.00032201281007210075
강원도,춘천시,퇴계동,1.0,44442.0,9.0,0.0,0.0,0.0003766399832093321
강원도,춘천시,강남동,0.0,17944.0,0.0,0.0,0.0,0.00015166228331520815
강원도,춘천시,신사우동,0.0,20868.0,0.0,0.0,0.0,0.00017681953410209102
강원도,태백시,황지동,0.0,6759.0,4.0,0.0,0.0,0.000731716608601336
강원도,태백시,황연동,0.0,4825.0,0.0,0.0,0.0,0.0005225520377732528
강원도,태백시,삼수동,0.0,6364.0,0.0,0.0,0.0,0.0006885898929666796
강원도,태백시,상장동,0.0,14295.0,0.0,0.0,0.0,0.001547530312690252
강원도,태백시,문곡소도동,0.0,4053.0,1.0,0.0,0.0,0.00043845494228567284
