기간,자치구,동,세대,인구,인구.1,인구.2,인구.3,인구.4,인구.5,인구.6,인구.7,인구.8,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2021.1/4,서초구,방배3동,"8,036","20,641","9,978","10,663","20,529","9,928","10,601",112,50,62,2.55,"3,634"
2021.1/4,서초구,방배4동,"9,757","23,897","10,923","12,974","23,633","10,803","12,830",264,120,144,2.42,"3,449"
2021.1/4,서초구,양재1동,"18,037","44,227","21,169","23,058","43,885","21,000","22,885",342,169,173,2.43,"6,813"
2021.1/4,서초구,양재2동,"10,793","22,489","11,252","11,237","22,249","11,137","11,112",240,115,125,2.06,"2,889"
2021.1/4,서초구,내곡동,"7,310","17,984","8,752","9,232","17,921","8,729","9,192",63,23,40,2.45,"3,217"
2021.1/4,강남구,소계,"233,363","539,538","258,205","281,333","534,796","255,880","278,916","4,742","2,325","2,417",2.29,"75,602"
2021.1/4,강남구,신사동,"7,184","16,615","7,753","8,862","16,384","7,627","8,757",231,126,105,2.28,"2,955"
2021.1/4,강남구,논현1동,"14,280","23,427","11,078","12,349","22,712","10,709","12,003",715,369,346,1.59,"2,949"
2021.1/4,강남구,논현2동,"11,584","21,891","10,186","11,705","21,628","10,069","11,559",263,117,146,1.87,"3,145"
2021.1/4,강남구,삼성1동,"5,569","13,389","6,656","6,733","13,183","6,519","6,664",206,137,69,2.37,"2,098"
2021.1/4,강남구,삼성2동,"13,276","30,044","14,355","15,689","29,806","14,219","15,587",238,136,102,2.25,"3,366"
2021.1/4,강남구,대치1동,"7,315","24,587","12,391","12,196","24,556","12,372","12,184",31,19,12,3.36,"2,384"
2021.1/4,강남구,대치4동,"10,172","20,358","9,594","10,764","20,087","9,470","10,617",271,124,147,1.97,"2,067"
2021.1/4,강남구,역삼1동,"23,853","36,457","17,567","18,890","35,507","17,149","18,358",950,418,532,1.49,"3,619"
2021.1/4,강남구,역삼2동,"15,520","36,715","17,225","19,490","36,399","17,070","19,329",316,155,161,2.35,"3,559"
2021.1/4,강남구,도곡1동,"8,623","22,044","10,464","11,580","21,911","10,388","11,523",133,76,57,2.54,"2,910"
