,시도명,시군구명,읍/면/동,등록인구수,인구밀도,범죄총계(구),범죄발생비율
109,서울특별시,강북구,번동,53590.0,0.01,3662.0,19.68
110,서울특별시,강북구,수유동,66970.0,0.01,3662.0,24.59
111,서울특별시,강북구,삼양동,24742.0,0.0,3662.0,9.08
112,서울특별시,강북구,미아동,22723.0,0.0,3662.0,8.34
113,서울특별시,강북구,송중동,30934.0,0.0,3662.0,11.36
114,서울특별시,강북구,송천동,27871.0,0.0,3662.0,10.23
115,서울특별시,강북구,삼각산동,32118.0,0.0,3662.0,11.79
116,서울특별시,강북구,우이동,21076.0,0.0,3662.0,7.74
117,서울특별시,강북구,인수동,31545.0,0.0,3662.0,11.58
118,서울특별시,도봉구,쌍문동,77641.0,0.01,2020.0,15.72
119,서울특별시,도봉구,방학동,77682.0,0.01,2020.0,15.73
120,서울특별시,도봉구,창동,122308.0,0.01,2020.0,24.77
121,서울특별시,도봉구,도봉동,49730.0,0.0,2020.0,10.07
122,서울특별시,노원구,월계동,81490.0,0.01,3969.0,32.43
123,서울특별시,노원구,공릉동,78684.0,0.01,3969.0,31.31
124,서울특별시,노원구,하계동,50688.0,0.01,3969.0,20.17
125,서울특별시,노원구,중계동,108836.0,0.01,3969.0,43.31
126,서울특별시,노원구,상계동,207334.0,0.02,3969.0,82.5
127,서울특별시,은평구,녹번동,37815.0,0.0,3686.0,13.97
128,서울특별시,은평구,불광동,68762.0,0.01,3686.0,25.41
129,서울특별시,은평구,갈현동,52635.0,0.01,3686.0,19.45
130,서울특별시,은평구,구산동,32997.0,0.0,3686.0,12.19
131,서울특별시,은평구,대조동,27579.0,0.0,3686.0,10.19
132,서울특별시,은평구,응암동,84594.0,0.01,3686.0,31.26
133,서울특별시,은평구,신사동,48721.0,0.0,3686.0,18.0
134,서울특별시,은평구,증산동,15487.0,0.0,3686.0,5.72
135,서울특별시,은평구,수색동,11258.0,0.0,3686.0,4.16
136,서울특별시,은평구,진관동,57256.0,0.01,3686.0,21.16
