시도명,시군구명,읍/면/동,등록인구수,인구밀도
서울특별시,은평구,구산동,32997.0,0.0033082014159988337
서울특별시,은평구,대조동,27579.0,0.0027650055111625854
서울특별시,은평구,응암동,84594.0,0.00848119497484636
서울특별시,은평구,신사동,48721.0,0.004884652580200599
서울특별시,은평구,증산동,15487.0,0.0015526901030267581
서울특별시,은평구,수색동,11258.0,0.001128700534633902
서울특별시,은평구,진관동,57256.0,0.005740351555427137
서울특별시,은평구,역촌동,46939.0,0.0047059934619986445
서울특별시,서대문구,천연동,18049.0,0.0018095501820578523
서울특별시,서대문구,홍제동,54921.0,0.005506249961150163
서울특별시,서대문구,홍은동,51000.0,0.005113139746520608
서울특별시,서대문구,남가좌동,47137.0,0.004725844475132195
서울특별시,서대문구,북가좌동,51504.0,0.0051636695981332826
서울특별시,서대문구,충현동,21229.0,0.0021283694838997256
서울특별시,서대문구,북아현동,16956.0,0.0016999685792549693
서울특별시,서대문구,신촌동,23051.0,0.0023110389077852264
서울특별시,서대문구,연희동,39105.0,0.0039205750938762435
서울특별시,마포구,용강동,22257.0,0.002231434339966847
서울특별시,마포구,대흥동,15863.0,0.0015903869764520866
서울특별시,마포구,염리동,12864.0,0.001289714307828257
서울특별시,마포구,신수동,23606.0,0.0023666818991444215
서울특별시,마포구,서교동,26981.0,0.002705051441193579
서울특별시,마포구,합정동,18576.0,0.0018623859594385653
서울특별시,마포구,망원동,40329.0,0.0040432904477927375
서울특별시,마포구,연남동,16682.0,0.0016724979853226822
서울특별시,마포구,성산동,60348.0,0.00605034818476521
서울특별시,마포구,상암동,31997.0,0.0032079437739101946
서울특별시,마포구,도화동,21998.0,0.0022054676106658894
서울특별시,마포구,서강동,25386.0,0.0025451405020621995
서울특별시,마포구,공덕동,38750.0,0.003884983630934776
서울특별시,마포구,아현동,26221.0,0.0026288556332062134
서울특별시,양천구,목동,153553.0,0.015394861715636844
서울특별시,양천구,신월동,125465.0,0.01257882506465114
서울특별시,양천구,신정동,177372.0,0.017782898492546145
서울특별시,강서구,염창동,42017.0,0.004212525347638361
서울특별시,강서구,등촌동,77214.0,0.0077412935762322015
서울특별시,강서구,화곡동,201246.0,0.020176449439770323
서울특별시,강서구,가양동,64711.0,0.006487772277197944
서울특별시,강서구,외발산동,37530.0,0.003762669307586636
서울특별시,강서구,공항동,27627.0,0.0027698178779828404
서울특별시,강서구,방화동,91569.0,0.00918049202841462
서울특별시,강서구,우장산동,43987.0,0.004410032902552981
서울특별시,구로구,신도림동,36494.0,0.0036588023903828056
서울특별시,구로구,구로동,137774.0,0.013812896381120203
서울특별시,구로구,고척동,51400.0,0.0051532428033560645
서울특별시,구로구,개봉동,88741.0,0.008896963416587947
서울특별시,구로구,오류동,63115.0,0.006327761080424475
서울특별시,구로구,수궁동,24297.0,0.002435959929827671
서울특별시,구로구,가리봉동,14263.0,0.0014299747491102635
서울특별시,구로구,항동,16404.0,0.0016446263608220404
서울특별시,금천구,가산동,25973.0,0.0026039917379682307
서울특별시,금천구,독산동,110856.0,0.011114161171378208
서울특별시,금천구,시흥동,111006.0,0.011129199817691504
서울특별시,영등포구,여의동,34463.0,0.003455179119300779
서울특별시,영등포구,당산동,59208.0,0.00593605447278416
서울특별시,영등포구,양평동,40305.0,0.00404088426438261
서울특별시,영등포구,신길동,102288.0,0.010255153693962746
서울특별시,영등포구,대림동,64500.0,0.00646661791471724
서울특별시,영등포구,영등포동,52539.0,0.0052674362576950245
서울특별시,영등포구,도림동,20665.0,0.0020718241737617328
서울특별시,영등포구,문래동,33399.0,0.003348504988118467
서울특별시,동작구,노량진동,45899.0,0.004601725514226459
서울특별시,동작구,상도1동,46840.0,0.004696067955431869
서울특별시,동작구,상도동,82884.0,0.008309754406874786
서울특별시,동작구,사당동,105944.0,0.01062169563343881
서울특별시,동작구,대방동,39172.0,0.003927292355896182
서울특별시,동작구,신대방동,46289.0,0.004640825994641029
서울특별시,동작구,흑석동,34544.0,0.003463299988309959
서울특별시,관악구,보라매동,25278.0,0.0025343126767166262
서울특별시,관악구,청림동,15711.0,0.0015751478148546133
서울특별시,관악구,행운동,29799.0,0.002987577476599365
서울특별시,관악구,낙성대동,17579.0,0.0017624290902761917
서울특별시,관악구,중앙동,15758.0,0.0015798599240327794
서울특별시,관악구,인헌동,26500.0,0.0026568275153489437
서울특별시,관악구,남현동,18598.0,0.0018645916275645152
서울특별시,관악구,서원동,23565.0,0.002362571335818787
서울특별시,관악구,신원동,19290.0,0.0019339699158898538
서울특별시,관악구,서림동,24410.0,0.0024472890433836873
서울특별시,관악구,신사동,25426.0,0.002549150807745745
서울특별시,관악구,신림동,22667.0,0.0022725399732231887
서울특별시,관악구,난향동,15915.0,0.0015956003738406958
서울특별시,관악구,조원동,19232.0,0.0019281549726487127
서울특별시,관악구,대학동,24907.0,0.002497117091501741
서울특별시,관악구,은천동,34595.0,0.0034684131280564795
서울특별시,관악구,성현동,30472.0,0.0030550508697250196
서울특별시,관악구,청룡동,36325.0,0.0036418588488698255
서울특별시,관악구,난곡동,28054.0,0.0028126278911546894
서울특별시,관악구,삼성동,23935.0,0.002399666663391584
서울특별시,관악구,미성동,31787.0,0.0031868896690715803
서울특별시,서초구,서초동,171512.0,0.01719538870990672
서울특별시,서초구,잠원동,28532.0,0.002860551044073059
서울특별시,서초구,반포동,103250.0,0.010351601545652017
서울특별시,서초구,방배동,104555.0,0.010482437768577692
서울특별시,서초구,양재동,67599.0,0.0067773163475499335
서울특별시,서초구,내곡동,18146.0,0.0018192751733404503
서울특별시,강남구,신사동,16914.0,0.0016957577582872466
서울특별시,강남구,논현동,45731.0,0.004584882230355568
서울특별시,강남구,삼성동,43968.0,0.004408128007353297
서울특별시,강남구,대치동,83418.0,0.00836329198775012
서울특별시,강남구,역삼동,74062.0,0.00742528148836881
서울특별시,강남구,도곡동,56269.0,0.0056413972626856495
서울특별시,강남구,개포동,51732.0,0.005186528340529493
서울특별시,강남구,일원동,57481.0,0.005762909524897081
서울특별시,강남구,수서동,15299.0,0.001533841666314094
서울특별시,강남구,세곡동,44475.0,0.004458958631892236
서울특별시,강남구,압구정동,27440.0,0.002751069698912265
서울특별시,강남구,청담동,27266.0,0.0027336248691888416
서울특별시,송파구,풍납동,40288.0,0.004039179884467103
서울특별시,송파구,거여동,32407.0,0.0032490494071665365
서울특별시,송파구,마천동,39628.0,0.003973009840688602
서울특별시,송파구,방이동,42973.0,0.0043083716534751005
서울특별시,송파구,오륜동,18495.0,0.0018542650904293855
서울특별시,송파구,오금동,39668.0,0.003977020146372147
서울특별시,송파구,송파동,45990.0,0.004610848959656525
서울특별시,송파구,석촌동,33166.0,0.0033251449575118137
서울특별시,송파구,삼전동,31839.0,0.0031921030664601893
서울특별시,송파구,가락동,88448.0,0.008867587927455976
서울특별시,송파구,문정동,50415.0,0.005054489025898755
서울특별시,송파구,잠실동,149873.0,0.01502591359275065
서울특별시,송파구,장지동,30370.0,0.003044824590231978
서울특별시,송파구,위례동,30366.0,0.0030444235596636237
서울특별시,강동구,강일동,35778.0,0.00358701791864734
서울특별시,강동구,상일동,33345.0,0.0033430910754456804
서울특별시,강동구,명일동,43932.0,0.004404518732238106
서울특별시,강동구,고덕동,48671.0,0.0048796396980961675
서울특별시,강동구,암사동,69655.0,0.006983446059684177
서울특별시,강동구,성내동,68993.0,0.006917075500621497
서울특별시,강동구,둔촌동,26675.0,0.0026743726027144555
서울특별시,강동구,천호동,90081.0,0.009031308656986724
서울특별시,강동구,길동,46868.0,0.004698875169410351
강원도,춘천시,신북읍,8080.0,0.005175131443855268
강원도,춘천시,동면,20120.0,0.012886589684451484
강원도,춘천시,동산면,1560.0,0.0009991590411403736
강원도,춘천시,신동면,2594.0,0.0016614221491782879
강원도,춘천시,남면,1123.0,0.0007192664123081022
강원도,춘천시,서면,4071.0,0.0026074208054374746
강원도,춘천시,사북면,2674.0,0.0017126610743649737
강원도,춘천시,북산면,992.0,0.0006353626723149042
강원도,춘천시,동내면,17901.0,0.011465349997085787
강원도,춘천시,남산면,3742.0,0.002396700725607229
강원도,춘천시,교동,4369.0,0.0027982858017578795
강원도,춘천시,조운동,3231.0,0.0020694120909772735
강원도,춘천시,약사명동,2758.0,0.0017664619458109937
강원도,춘천시,근화동,9196.0,0.005889914450209535
강원도,춘천시,소양동,10931.0,0.007001158640195784
강원도,춘천시,후평1동,13013.0,0.008334651668179283
강원도,춘천시,후평2동,15730.0,0.010074853664832099
강원도,춘천시,후평3동,18286.0,0.011711937324546711
강원도,춘천시,효자1동,5073.0,0.0032491883434007146
강원도,춘천시,효자2동,12918.0,0.008273805444520093
강원도,춘천시,효자3동,5335.0,0.0034169958233871106
강원도,춘천시,석사동,38051.0,0.024371154278482278
강원도,춘천시,퇴계동,44442.0,0.028464503914333642
