시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,예상범죄비율
강원도,동해시,북평동,0.0,0.05085391924563631,0.025,0.0,9.34412172084221e-05
강원도,동해시,망상동,0.0,0.0189266531866944,0.025,0.0,3.5220151101636017e-05
강원도,동해시,삼화동,0.0,0.014868184209129385,0.0,0.0,2.8032365162526626e-05
강원도,삼척시,도계읍,0.0,0.05498477470912698,0.0625,0.0,0.0003838277691484415
강원도,삼척시,원덕읍,0.0,0.025571732594669463,0.025,0.0,0.00018041342707164572
강원도,삼척시,근덕면,0.0,0.026310074751111138,0.037500000000000006,0.0,0.0001854448772290223
강원도,삼척시,하장면,0.0,0.006046684457656319,0.0,0.0,4.5283051416389165e-05
강원도,삼척시,노곡면,0.0,0.0029437170943099403,0.0,0.0,2.4438472192971934e-05
강원도,삼척시,미로면,0.0,0.008850454345843327,0.0125,0.0,6.469007345198452e-05
강원도,삼척시,가곡면,0.0,0.0030016262830504636,0.0125,0.0,2.4438472192971934e-05
강원도,삼척시,신기면,0.0,0.002707254573619469,0.0125,0.0,2.2282136411239114e-05
강원도,삼척시,남양동,0.0,0.03874607303313854,0.0125,0.0,0.00027169830849833496
강원도,삼척시,교동,0.0,0.07088567278412904,0.0125,0.0,0.0004930821154229042
강원도,삼척시,정라동,0.0,0.045859251716766164,0.0,0.0,0.00032057525288427887
강원도,삼척시,성내동,0.0,0.041081743645672984,0.0,0.0,0.00028751143756437563
강원도,속초시,영랑동,0.0,0.02370898702351596,0.025,0.0,0.00010350411752317524
강원도,속초시,동명동,0.0,0.02026339029345482,0.0,0.0,8.912854564495645e-05
강원도,속초시,금호동,0.0,0.03256909290081604,0.0,0.0,0.000141599383000455
강원도,속초시,교동,0.0,0.04943514412149348,0.0125,0.0,0.00021347724239154895
강원도,속초시,노학동,0.0,0.1094338894224041,0.037500000000000006,0.0,0.0004700812004177542
강원도,속초시,조양동,0.0,0.120301513842709,0.05,0.0,0.0005168018090219653
강원도,속초시,청호동,0.0,0.02299959946144455,0.0125,0.0,0.00010062900314753147
강원도,속초시,대포동,0.0,0.015987761858112837,0.0125,0.0,7.044030220327203e-05
강원도,양구군,양구읍,0.0,0.07188460628990306,0.037500000000000006,0.0,0.0009006295781704066
강원도,양구군,남면,0.0,0.016658543294357234,0.037500000000000006,0.0,0.00021419602098545986
강원도,양구군,동면,0.0,0.010385047847467197,0.025,0.0,0.00013584915424916748
강원도,양구군,방산면,0.0,0.006524435264765637,0.0125,0.0,8.769098845713457e-05
강원도,양구군,해안면,0.0,0.006027381394742811,0.0125,0.0,8.194075970584705e-05
강원도,양양군,양양읍,0.0,0.05709363433242771,0.025,0.0,8.2659538299758e-05
강원도,양양군,서면,0.0,0.014014023675206664,0.05,0.0,2.0844579223417235e-05
강원도,양양군,손양면,0.0,0.011446716307710127,0.025,0.0,1.725068625386254e-05
강원도,양양군,현북면,0.0,0.01223331612143557,0.025,0.0,1.7969464847773477e-05
