시군구명,읍/면/동,등록인구수,어린이보호구역개수
서구,동대신1동,4769.0,1.0
서구,동대신2동,8225.0,0.0
서구,동대신3동,6956.0,2.0
서구,부민동,8337.0,4.0
서구,서대신1동,12051.0,0.0
서구,서대신3동,8991.0,4.0
서구,서대신4동,8250.0,0.0
서구,아미동,8071.0,2.0
서구,암남동,15471.0,3.0
서구,초장동,5109.0,0.0
서구,충무동,10435.0,0.0
서구,남부민1동,5412.0,2.0
서구,남부민2동,10544.0,3.0
서구,동대신1동,4769.0,1.0
서구,동대신2동,8225.0,0.0
서구,동대신3동,6956.0,2.0
서구,부민동,8337.0,4.0
서구,서대신1동,12051.0,0.0
서구,서대신3동,8991.0,4.0
서구,서대신4동,8250.0,0.0
서구,아미동,8071.0,2.0
서구,암남동,15471.0,3.0
서구,초장동,5109.0,0.0
서구,충무동,10435.0,0.0
강동구,강일동,35778.0,8.0
강동구,고덕동,48671.0,20.0
강동구,길동,46868.0,22.0
강동구,둔촌동,26675.0,18.0
강동구,명일동,43932.0,18.0
강동구,상일동,33345.0,20.0
강동구,성내동,68993.0,18.0
강동구,암사동,69655.0,28.0
강동구,천호동,90081.0,28.0
강북구,미아동,22723.0,28.0
강북구,번동,53590.0,16.0
강북구,삼각산동,32118.0,0.0
강북구,삼양동,24742.0,0.0
강북구,송중동,30934.0,0.0
강북구,송천동,27871.0,0.0
강북구,수유동,66970.0,28.0
강북구,우이동,21076.0,4.0
강북구,인수동,31545.0,0.0
강서구,염창동,42017.0,6.0
강서구,등촌동,77214.0,13.0
강서구,화곡동,201246.0,33.0
강서구,가양동,64711.0,4.0
강서구,외발산동,37530.0,8.0
강서구,공항동,27627.0,3.0
강서구,방화동,91569.0,12.0
강서구,우장산동,43987.0,0.0
강서구,염창동,42017.0,6.0
강서구,등촌동,77214.0,13.0
강서구,화곡동,201246.0,33.0
강서구,가양동,64711.0,4.0
강서구,외발산동,37530.0,8.0
강서구,공항동,27627.0,3.0
강서구,방화동,91569.0,12.0
강서구,우장산동,43987.0,0.0
광진구,광장동,35619.0,20.0
광진구,구의동,79732.0,36.0
광진구,군자동,21903.0,14.0
광진구,능동,11913.0,10.0
광진구,자양동,100209.0,44.0
광진구,중곡동,85192.0,24.0
광진구,화양동,25541.0,6.0
구로구,신도림동,36494.0,4.0
구로구,구로동,137774.0,16.0
구로구,고척동,51400.0,7.0
구로구,개봉동,88741.0,9.0
구로구,오류동,63115.0,12.0
구로구,수궁동,24297.0,0.0
구로구,가리봉동,14263.0,2.0
구로구,항동,16404.0,3.0
금천구,가산동,25973.0,8.0
금천구,독산동,110856.0,40.0
금천구,시흥동,111006.0,38.0
노원구,공릉동,78684.0,30.0
노원구,상계동,207334.0,80.0
노원구,월계동,81490.0,30.0
노원구,중계동,108836.0,44.0
노원구,하계동,50688.0,24.0
도봉구,쌍문동,77641.0,20.0
도봉구,방학동,77682.0,13.0
도봉구,창동,122308.0,30.0
도봉구,도봉동,49730.0,6.0
동대문구,회기동,12663.0,6.0
동대문구,휘경동,40354.0,14.0
동대문구,청량리동,20432.0,2.0
동대문구,용신동,32602.0,6.0
동대문구,제기동,27017.0,16.0
동대문구,전농동,50171.0,20.0
동대문구,답십리동,58997.0,26.0
동대문구,장안동,72626.0,38.0
동대문구,이문동,42152.0,18.0
동작구,노량진동,45899.0,8.0
동작구,대방동,39172.0,16.0
동작구,사당동,105944.0,28.0
동작구,상도1동,46840.0,8.0
동작구,상도동,82884.0,32.0
동작구,신대방동,46289.0,8.0
동작구,흑석동,34544.0,18.0
마포구,용강동,22257.0,0.0
마포구,대흥동,15863.0,4.0
마포구,염리동,12864.0,6.0
마포구,신수동,23606.0,4.0
마포구,서교동,26981.0,4.0
마포구,합정동,18576.0,2.0
마포구,망원동,40329.0,6.0
마포구,연남동,16682.0,4.0
마포구,성산동,60348.0,18.0
마포구,상암동,31997.0,16.0
마포구,도화동,21998.0,10.0
마포구,서강동,25386.0,0.0
마포구,공덕동,38750.0,4.0
마포구,아현동,26221.0,4.0
서대문구,남가좌동,47137.0,10.0
서대문구,북가좌동,51504.0,6.0
서대문구,북아현동,16956.0,6.0
서대문구,신촌동,23051.0,0.0
서대문구,연희동,39105.0,2.0
서대문구,천연동,18049.0,4.0
서대문구,충현동,21229.0,0.0
서대문구,홍은동,51000.0,8.0
서대문구,홍제동,54921.0,24.0
서초구,서초동,171512.0,32.0
서초구,잠원동,28532.0,14.0
서초구,반포동,103250.0,22.0
서초구,방배동,104555.0,34.0
서초구,양재동,67599.0,16.0
서초구,내곡동,18146.0,6.0
성동구,금호동1가,15795.0,6.0
성동구,금호동2가,11792.0,4.0
성동구,금호동3가,11792.0,2.0
성동구,금호동4가,14842.0,8.0
성동구,마장동,23459.0,12.0
성동구,사근동,13512.0,8.0
성동구,성수동1가,30589.0,8.0
성동구,성수동2가,28603.0,6.0
성동구,송정동,11143.0,4.0
성동구,옥수동,26912.0,10.0
성동구,왕십리2동,17416.0,10.0
성동구,왕십리도선동,27588.0,0.0
성동구,용답동,12724.0,6.0
성동구,응봉동,15824.0,4.0
성동구,행당동,38514.0,8.0
성북구,길음동,53735.0,28.0
성북구,돈암동,40065.0,26.0
성북구,동선동,16246.0,14.0
성북구,보문동,16123.0,10.0
성북구,삼선동,24144.0,4.0
성북구,석관동,36483.0,10.0
성북구,성북동,17404.0,10.0
성북구,안암동,16580.0,8.0
성북구,월곡동,47504.0,16.0
성북구,장위동,51914.0,22.0
성북구,정릉동,85505.0,32.0
성북구,종암동,41353.0,20.0
송파구,가락동,88448.0,26.0
송파구,거여동,32407.0,10.0
송파구,마천동,39628.0,18.0
송파구,문정동,50415.0,4.0
송파구,방이동,42973.0,6.0
송파구,삼전동,31839.0,2.0
송파구,석촌동,33166.0,10.0
송파구,송파동,45990.0,16.0
송파구,오금동,39668.0,10.0
송파구,오륜동,18495.0,6.0
송파구,위례동,30366.0,6.0
송파구,잠실동,149873.0,38.0
송파구,장지동,30370.0,14.0
송파구,풍납동,40288.0,18.0
양천구,목동,153553.0,40.0
양천구,신월동,125465.0,46.0
양천구,신정동,177372.0,50.0
영등포구,당산동,59208.0,14.0
영등포구,대림동,64500.0,26.0
영등포구,도림동,20665.0,2.0
영등포구,문래동,33399.0,10.0
영등포구,신길동,102288.0,40.0
영등포구,양평동,40305.0,18.0
영등포구,여의동,34463.0,12.0
영등포구,영등포동,52539.0,10.0
용산구,남영동,8116.0,0.0
용산구,보광동,15531.0,2.0
용산구,서빙고동,14000.0,2.0
용산구,용문동,12455.0,0.0
용산구,용산동2가,11272.0,2.0
용산구,원효로1가,16730.0,0.0
용산구,원효로2가,14331.0,2.0
용산구,이촌동,37769.0,14.0
용산구,이태원동,19559.0,6.0
용산구,청파동1가,6832.0,0.0
용산구,청파동2가,6832.0,2.0
용산구,청파동3가,6832.0,0.0
용산구,한강로1가,7365.0,0.0
용산구,한강로2가,7366.0,2.0
용산구,한강로3가,7366.0,2.0
용산구,한남동,23761.0,10.0
용산구,효창동,10326.0,2.0
용산구,후암동,18202.0,6.0
은평구,녹번동,37815.0,8.0
은평구,불광동,68762.0,12.0
은평구,갈현동,52635.0,7.0
은평구,구산동,32997.0,7.0
은평구,대조동,27579.0,2.0
은평구,응암동,84594.0,12.0
은평구,신사동,48721.0,9.0
은평구,증산동,15487.0,2.0
은평구,수색동,11258.0,3.0
은평구,진관동,57256.0,11.0
은평구,역촌동,46939.0,3.0
종로구,가회동,4418.0,2.0
종로구,교남동,10634.0,0.0
종로구,무악동,8592.0,2.0
종로구,부암동,10333.0,2.0
종로구,사직동,9806.0,2.0
종로구,삼청동,2909.0,0.0
종로구,숭인동,16566.0,6.0
종로구,이화동,8111.0,2.0
종로구,종로1가,2112.0,0.0
종로구,종로2가,2112.0,0.0
종로구,종로3가,2112.0,0.0
종로구,종로4가,2113.0,0.0
종로구,종로5가,2845.0,0.0
종로구,종로6가,2846.0,2.0
종로구,창신동,22574.0,10.0
종로구,청운동,12633.0,4.0
종로구,평창동,18582.0,4.0
종로구,혜화동,19734.0,6.0
중구,광희1가,3208.0,0.0
중구,광희2가,3208.0,0.0
중구,다산동,14725.0,0.0
중구,동화동,10827.0,0.0
중구,명동1가,1843.0,0.0
중구,명동2가,1842.0,2.0
중구,소공동,3011.0,0.0
중구,신당동,20058.0,38.0
중구,약수동,17354.0,0.0
중구,을지로1가,281.0,0.0
중구,을지로2가,281.0,0.0
중구,을지로3가,281.0,0.0
중구,을지로4가,281.0,0.0
중구,을지로5가,281.0,0.0
중구,을지로6가,281.0,0.0
중구,을지로7가,281.0,0.0
중구,장충동1가,2734.0,0.0
중구,장충동2가,2734.0,2.0
중구,중림동,12801.0,2.0
중구,청구동,14281.0,0.0
중구,필동2가,2377.0,2.0
중구,필동3가,2377.0,0.0
중구,황학동,13531.0,4.0
중구,회현동1가,5757.0,2.0
중랑구,망우동,48292.0,12.0
중랑구,면목동,143278.0,28.0
중랑구,묵동,55260.0,10.0
중랑구,상봉동,45126.0,8.0
중랑구,신내동,61133.0,14.0
중랑구,중화동,46473.0,12.0
중랑구,망우동,48292.0,12.0
중랑구,면목동,143278.0,28.0
중랑구,묵동,55260.0,10.0
중랑구,상봉동,45126.0,8.0
중랑구,신내동,61133.0,14.0
중랑구,중화동,46473.0,12.0
고창군,고창읍,21643.0,3.0
고창군,고수면,2308.0,2.0
고창군,아산면,2717.0,2.0
고창군,무장면,2879.0,2.0
고창군,공음면,2564.0,2.0
고창군,상하면,2467.0,2.0
고창군,해리면,2881.0,4.0
고창군,성송면,1853.0,2.0
고창군,대산면,3412.0,4.0
고창군,심원면,2577.0,2.0
고창군,흥덕면,3155.0,2.0
고창군,성내면,1994.0,2.0
고창군,신림면,2290.0,4.0
고창군,부안면,2684.0,4.0
무주군,무주읍,9551.0,3.0
무주군,무풍면,2280.0,1.0
무주군,설천면,4085.0,2.0
무주군,적상면,2632.0,2.0
무주군,안성면,4285.0,1.0
무주군,부남면,1419.0,2.0
정읍시,감곡면,2874.0,1.0
정읍시,고부면,2888.0,1.0
정읍시,내장상동,20778.0,0.0
정읍시,농소동,4189.0,0.0
정읍시,덕천면,1877.0,2.0
정읍시,북면,4533.0,3.0
정읍시,산내면,1231.0,1.0
정읍시,산외면,2152.0,1.0
정읍시,상교동,3967.0,0.0
정읍시,소성면,2160.0,1.0
정읍시,수성동,18063.0,3.0
정읍시,시기동,3471.0,2.0
정읍시,신태인읍,5664.0,3.0
정읍시,연지동,6130.0,3.0
정읍시,영원면,1838.0,1.0
정읍시,옹동면,1736.0,1.0
정읍시,이평면,2139.0,1.0
정읍시,입암면,2883.0,2.0
정읍시,장명동,3057.0,1.0
정읍시,정우면,2622.0,2.0
정읍시,초산동,11030.0,0.0
정읍시,칠보면,2380.0,2.0
정읍시,태인면,3577.0,2.0
남구,양림동,7592.0,2.0
남구,방림1동,7274.0,2.0
남구,방림2동,9421.0,3.0
남구,봉선1동,15122.0,6.0
남구,봉선2동,29602.0,6.0
남구,사직동,5669.0,1.0
남구,월산동,8005.0,3.0
남구,월산4동,9225.0,1.0
남구,월산5동,6830.0,1.0
남구,백운1동,13019.0,1.0
남구,백운2동,6311.0,2.0
남구,주월1동,20184.0,6.0
남구,주월2동,8698.0,6.0
남구,효덕동,47590.0,0.0
남구,송암동,19302.0,0.0
남구,대촌동,5769.0,0.0
진천군,진천읍,31917.0,12.0
진천군,덕산면,22439.0,5.0
진천군,초평면,3508.0,4.0
진천군,문백면,4147.0,4.0
진천군,백곡면,2167.0,2.0
진천군,이월면,8078.0,6.0
진천군,광혜원면,12009.0,3.0
