시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
서울특별시,용산구,후암동,18202.0,0.00182489,6.0
서울특별시,은평구,녹번동,37815.0,0.0037912427355818,8.0
서울특별시,은평구,불광동,68762.0,0.006893915985299,12.0
서울특별시,은평구,갈현동,52635.0,0.0052770609913355,7.0
서울특별시,은평구,구산동,32997.0,0.0033082014159988,7.0
서울특별시,은평구,대조동,27579.0,0.0027650055111625,2.0
서울특별시,은평구,응암동,84594.0,0.0084811949748463,12.0
서울특별시,은평구,신사동,48721.0,0.0048846525802005,9.0
서울특별시,은평구,증산동,15487.0,0.0015526901030267,2.0
서울특별시,은평구,수색동,11258.0,0.0011287005346339,3.0
서울특별시,은평구,진관동,57256.0,0.0057403515554271,11.0
서울특별시,은평구,역촌동,46939.0,0.0047059934619986,3.0
서울특별시,종로구,가회동,4418.0,0.000442938,2.0
서울특별시,종로구,교남동,10634.0,0.00106614,0.0
서울특별시,종로구,무악동,8592.0,0.000861414,2.0
서울특별시,종로구,부암동,10333.0,0.001035962,2.0
서울특별시,종로구,사직동,9806.0,0.000983126,2.0
서울특별시,종로구,삼청동,2909.0,0.000291649,0.0
서울특별시,종로구,숭인동,16566.0,0.001660868,6.0
서울특별시,종로구,이화동,8111.0,0.00081319,2.0
서울특별시,종로구,종로1가,2112.0,0.000211744,0.0
서울특별시,종로구,종로2가,2112.0,0.000211744,0.0
서울특별시,종로구,종로3가,2112.0,0.000211744,0.0
서울특별시,종로구,종로4가,2113.0,0.000211844,0.0
서울특별시,종로구,종로5가,2845.0,0.000285233,0.0
서울특별시,종로구,종로6가,2846.0,0.000285333,2.0
서울특별시,종로구,창신동,22574.0,0.002263216,10.0
서울특별시,종로구,청운동,12633.0,0.001266555,4.0
서울특별시,종로구,평창동,18582.0,0.001862988,4.0
서울특별시,종로구,혜화동,19734.0,0.001978484,6.0
서울특별시,중구,광희1가,3208.0,0.000321627,0.0
서울특별시,중구,광희2가,3208.0,0.000321627,0.0
서울특별시,중구,다산동,14725.0,0.001476294,0.0
서울특별시,중구,동화동,10827.0,0.001085489,0.0
서울특별시,중구,명동1가,1843.0,0.000184775,0.0
서울특별시,중구,명동2가,1842.0,0.000184675,2.0
서울특별시,중구,소공동,3011.0,0.000301876,0.0
서울특별시,중구,신당동,20058.0,0.002010968,38.0
서울특별시,중구,약수동,17354.0,0.001739871,0.0
서울특별시,중구,을지로1가,281.0,2.81724e-05,0.0
서울특별시,중구,을지로2가,281.0,2.81724e-05,0.0
서울특별시,중구,을지로3가,281.0,2.81724e-05,0.0
서울특별시,중구,을지로4가,281.0,2.81724e-05,0.0
서울특별시,중구,을지로5가,281.0,2.81724e-05,0.0
서울특별시,중구,을지로6가,281.0,2.81724e-05,0.0
