시도명,시군구명,읍/면/동,등록인구수
서울특별시,구로구,구로5동,32339
서울특별시,구로구,고척1동,23547
서울특별시,구로구,고척2동,27853
서울특별시,구로구,개봉2동,32218
서울특별시,구로구,개봉3동,21284
서울특별시,구로구,오류1동,23360
서울특별시,구로구,수궁동,24297
서울특별시,구로구,가리봉동,14263
서울특별시,구로구,구로2동,33050
서울특별시,구로구,개봉1동,35239
서울특별시,구로구,오류2동,39755
서울특별시,구로구,항동,16404
서울특별시,금천구,가산동,25973
서울특별시,금천구,독산1동,44191
서울특별시,금천구,독산2동,20666
서울특별시,금천구,독산3동,28535
서울특별시,금천구,독산4동,17464
서울특별시,금천구,시흥1동,35781
서울특별시,금천구,시흥2동,22092
서울특별시,금천구,시흥3동,11285
서울특별시,금천구,시흥4동,21520
서울특별시,금천구,시흥5동,20328
서울특별시,영등포구,여의동,34463
서울특별시,영등포구,당산1동,21197
서울특별시,영등포구,당산2동,38011
서울특별시,영등포구,양평1동,17702
서울특별시,영등포구,양평2동,22603
서울특별시,영등포구,신길1동,19167
서울특별시,영등포구,신길3동,18086
서울특별시,영등포구,신길4동,12974
서울특별시,영등포구,신길5동,12496
서울특별시,영등포구,신길6동,19071
서울특별시,영등포구,신길7동,20494
서울특별시,영등포구,대림1동,17751
서울특별시,영등포구,대림2동,19776
서울특별시,영등포구,대림3동,26973
서울특별시,영등포구,영등포본동,23790
서울특별시,영등포구,영등포동,28749
서울특별시,영등포구,도림동,20665
서울특별시,영등포구,문래동,33399
서울특별시,동작구,노량진2동,13512
서울특별시,동작구,상도1동,46840
서울특별시,동작구,상도2동,28162
서울특별시,동작구,상도3동,25416
서울특별시,동작구,상도4동,29306
서울특별시,동작구,사당1동,23632
서울특별시,동작구,사당3동,25244
서울특별시,동작구,사당4동,14599
서울특별시,동작구,사당5동,14811
서울특별시,동작구,대방동,39172
서울특별시,동작구,신대방1동,25823
서울특별시,동작구,신대방2동,20466
서울특별시,동작구,흑석동,34544
서울특별시,동작구,노량진1동,32387
서울특별시,동작구,사당2동,27658
서울특별시,관악구,보라매동,25278
서울특별시,관악구,청림동,15711
서울특별시,관악구,행운동,29799
서울특별시,관악구,낙성대동,17579
서울특별시,관악구,중앙동,15758
서울특별시,관악구,인헌동,26500
서울특별시,관악구,남현동,18598
서울특별시,관악구,서원동,23565
서울특별시,관악구,신원동,19290
서울특별시,관악구,서림동,24410
서울특별시,관악구,신사동,25426
서울특별시,관악구,신림동,22667
서울특별시,관악구,난향동,15915
서울특별시,관악구,조원동,19232
서울특별시,관악구,대학동,24907
서울특별시,관악구,은천동,34595
서울특별시,관악구,성현동,30472
서울특별시,관악구,청룡동,36325
서울특별시,관악구,난곡동,28054
서울특별시,관악구,삼성동,23935
서울특별시,관악구,미성동,31787
서울특별시,서초구,서초1동,21187
서울특별시,서초구,서초2동,21731
서울특별시,서초구,서초3동,32307
서울특별시,서초구,서초4동,31718
서울특별시,서초구,잠원동,28532
