설치유무,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄발생횟수
0.0,0.0125,0.0,0.0,0.0034672779087995746
0.0,0.025,0.0,0.0,0.005355674041802154
0.0,0.025,0.0,0.2,0.0030469319913278706
0.0,0.0125,0.0,0.0,0.0023990303892098305
1.0,0.07500000000000001,0.0,0.0,0.2860179891792327
1.0,0.05,0.0,0.0,0.1421380565122925
0.0,0.05,0.0,0.2,0.20675581637142523
1.0,0.037500000000000006,0.0,0.2,0.08233528845924151
1.0,0.0125,0.0,0.0,0.14789325381897012
1.0,0.025,0.0,0.0,0.05837429373193523
0.0,0.025,0.0,0.0,0.05151365410554825
0.0,0.037500000000000006,0.0,0.0,0.030316205662502878
1.0,0.17500000000000002,0.0,0.0,0.07280938365834007
0.0,0.0,0.0,0.0,0.02183722628528473
0.0,0.0,0.0,0.0,0.15346243617482924
1.0,0.1,0.0,0.0,0.11026788844125585
0.0,0.08750000000000001,0.0,0.0,0.05858542668412376
0.0,0.1,0.0,0.0,0.09083503265047665
1.0,0.1375,0.0,0.0,0.034939885143757246
0.0,0.0,0.0,0.0,0.11610221250165992
0.0,0.0,0.0,0.0,0.19959201523128584
1.0,0.225,0.0,0.0,0.09812570406439657
1.0,0.2625,0.0,0.0,0.14144086952356788
1.0,0.1875,0.0,0.0,0.15495005479053717
0.0,0.1625,0.0,0.0,0.3548359627221751
0.0,0.05,0.0,0.0,0.11183591887402908
0.0,0.025,0.0,0.0,0.009628032060871036
0.0,0.0,0.0,0.0,0.00884178318289928
0.0,0.0,0.0,0.0,0.02380284848021412
0.0,0.0125,0.0,0.0,0.010141774225454854
0.0,0.0,0.0,0.0,0.009083018634095158
0.0,0.025,0.0,0.0,0.03249792713982007
0.0,0.025,0.0,0.0,0.03112103440180616
0.0,0.037500000000000006,0.0,0.0,0.04041722530908868
0.0,0.07500000000000001,0.0,0.0,0.06510170801165857
0.0,0.07500000000000001,0.0,0.0,0.12779795595644236
1.0,0.0,0.0,0.0,0.024171622941075645
0.0,0.0125,0.0,0.0,0.03428615575868717
0.0,0.0125,0.0,0.0,0.03956857443911785
0.0,0.0125,0.0,0.0,0.02919858039023959
0.0,0.0125,0.0,0.0,0.055996030564981765
0.0,0.025,0.0,0.0,0.02695138752536785
