시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,원주시,흥업면,0.0,9701.0,2.0,0.0,206.0,0.0,1561313.0,0.0062133601654504895,1.279952194082801
강원도,원주시,판부면,0.0,7616.0,4.0,0.0,206.0,0.0,1561313.0,0.00487794567777249,1.004856809621133
강원도,원주시,신림면,0.0,3804.0,2.0,0.0,206.0,0.0,1561313.0,0.0024364108926269107,0.5019006438811436
강원도,원주시,중앙동,0.0,3014.0,0.0,0.0,206.0,0.0,1561313.0,0.0019304265064083884,0.397667860320128
강원도,원주시,원인동,0.0,5870.0,0.0,0.0,206.0,0.0,1561313.0,0.003759656135573072,0.7744891639280528
강원도,원주시,개운동,0.0,13886.0,3.0,0.0,206.0,0.0,1561313.0,0.00889379643927899,1.8321220664914721
강원도,원주시,명륜1동,0.0,9494.0,0.0,0.0,206.0,0.0,1561313.0,0.0060807794465299395,1.2526405659851676
강원도,원주시,명륜2동,0.0,17143.0,0.0,0.0,206.0,0.0,1561313.0,0.010979861180941937,2.261851403274039
강원도,원주시,단구동,0.0,46006.0,8.0,0.0,206.0,0.0,1561313.0,0.02946622490173335,6.0700423297570705
강원도,원주시,일산동,0.0,8436.0,3.0,0.0,206.0,0.0,1561313.0,0.00540314466093602,1.1130478001528201
강원도,원주시,학성동,0.0,5370.0,2.0,0.0,206.0,0.0,1561313.0,0.003439412853156286,0.7085190477501949
강원도,원주시,단계동,0.0,26439.0,8.0,0.0,206.0,0.0,1561313.0,0.01693382428763483,3.4883678032527747
강원도,원주시,우산동,0.0,14745.0,2.0,0.0,206.0,0.0,1561313.0,0.009443974398471031,1.9454587260850325
강원도,원주시,태장1동,0.0,10620.0,0.0,0.0,206.0,0.0,1561313.0,0.006801967318532543,1.4012052676177038
강원도,원주시,태장2동,0.0,24159.0,0.0,0.0,206.0,0.0,1561313.0,0.015473514919814284,3.1875440734817424
강원도,원주시,봉산동,0.0,9059.0,4.0,0.0,206.0,0.0,1561313.0,0.0058021677908273355,1.1952465649104311
강원도,원주시,행구동,0.0,8026.0,1.0,0.0,206.0,0.0,1561313.0,0.005140545169354255,1.0589523048869767
강원도,원주시,무실동,0.0,35048.0,8.0,0.0,206.0,0.0,1561313.0,0.022447773124287057,4.624241263603134
강원도,원주시,반곡관설동,0.0,41511.0,0.0,0.0,206.0,0.0,1561313.0,0.026587237792806438,5.476970985318126
강원도,인제군,인제읍,1.0,9716.0,6.0,0.0,3109.0,0.0,1561313.0,0.006222967463922993,19.347205845336585
강원도,인제군,남면,1.0,4283.0,5.0,0.0,3109.0,0.0,1561313.0,0.002743203957182192,8.528621102879436
강원도,인제군,북면,1.0,8740.0,6.0,0.0,3109.0,1.0,1561313.0,0.005597852576645426,17.40372366079063
강원도,인제군,기린면,1.0,5180.0,2.0,0.0,3109.0,1.0,1561313.0,0.003317720405837907,10.314792741750052
강원도,인제군,서화면,1.0,2984.0,3.0,0.0,3109.0,0.0,1561313.0,0.0019112119094633812,5.941957826521652
강원도,인제군,상남면,1.0,1552.0,3.0,0.0,3109.0,0.0,1561313.0,0.0009940351486217049,3.0904552770648803
강원도,정선군,정선읍,0.0,11066.0,4.0,0.0,126.0,0.0,1561313.0,0.007087624326448316,0.8930406651324878
강원도,정선군,고한읍,0.0,4527.0,2.0,0.0,126.0,0.0,1561313.0,0.002899482679001584,0.36533481755419955
강원도,정선군,사북읍,0.0,5141.0,2.0,0.0,126.0,0.0,1561313.0,0.0032927414298093978,0.4148854201559841
강원도,정선군,신동읍,0.0,3727.0,1.0,0.0,126.0,0.0,1561313.0,0.002387093427134726,0.30077377181897547
강원도,정선군,남면,0.0,3442.0,2.0,0.0,126.0,0.0,1561313.0,0.0022045547561571574,0.2777738992758018
강원도,정선군,북평면,0.0,2606.0,2.0,0.0,126.0,0.0,1561313.0,0.0016691079879562905,0.2103076064824926
강원도,정선군,임계면,0.0,3693.0,0.0,0.0,126.0,0.0,1561313.0,0.0023653168839303843,0.29802992737522843
강원도,정선군,화암면,0.0,1702.0,2.0,0.0,126.0,1.0,1561313.0,0.0010901081333467408,0.13735362480168933
강원도,정선군,여량면,0.0,2061.0,1.0,0.0,126.0,1.0,1561313.0,0.0013200428101219936,0.1663253940753712
강원도,철원군,철원읍,0.0,5244.0,3.0,0.0,458.0,0.0,1561313.0,0.0033587115459872557,1.5382898880621632
강원도,철원군,김화읍,0.0,3947.0,3.0,0.0,458.0,0.0,1561313.0,0.002528000471398112,1.1578242159003351
강원도,철원군,갈말읍,0.0,12813.0,7.0,0.0,458.0,1.0,1561313.0,0.008206554355212567,3.758601894687356
강원도,철원군,동송읍,0.0,16361.0,7.0,0.0,458.0,1.0,1561313.0,0.010479000687242085,4.799382314756875
강원도,철원군,서면,0.0,6183.0,5.0,0.0,458.0,0.0,1561313.0,0.00396012843036598,1.8137388211076189
강원도,철원군,근남면,0.0,2477.0,1.0,0.0,458.0,0.0,1561313.0,0.0015864852210927597,0.726610231260484
강원도,철원군,근북면,0.0,113.0,0.0,0.0,458.0,0.0,1561313.0,7.237498182619372e-05,0.033147741676396725
강원도,춘천시,신북읍,1.0,8080.0,10.0,0.0,184.0,0.0,1561313.0,0.005175131443855268,0.9522241856693693
