설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수
0.0,0.1103990425680795,0.07500000000000001,0.0,0.0
0.0,0.053850719762958396,0.05,0.0,0.0
0.0,0.02932617833134673,0.037500000000000006,0.0,0.0
0.0,0.0928139522538739,0.0,0.0,0.0
0.0,0.08154096351238534,0.1,0.0,0.0
0.0,0.08069645450991937,0.1,0.0,0.0
0.0,0.039161088885778954,0.05,0.0,0.0
0.0,0.0817581229701623,0.05,0.0,0.0
0.0,0.06931247315667814,0.0625,0.0,0.0
0.0,0.07088084701840065,0.125,0.0,0.0
0.0,0.15096925504654451,0.2,0.0,0.0
0.0,0.06970818594640506,0.1,0.0,0.0
0.0,0.058343507656077334,0.125,0.0,0.0
0.0,0.06273495446890036,0.125,0.0,0.0
0.0,0.012807582243112427,0.0,0.0,0.0
0.0,0.2484545485254873,0.0,0.0,0.0
0.0,0.1753393719748481,0.1625,0.0,0.0
0.0,0.019790465252073876,0.037500000000000006,0.0,0.0
0.0,0.023125069370382348,0.0,0.0,0.0
0.0,0.05277457400553033,0.025,0.0,0.0
0.0,0.02521462593076957,0.025,0.0,0.0
0.0,0.04095627373673518,0.05,0.0,0.0
0.0,0.05328610517273829,0.0,0.0,0.0
0.0,0.1505108073023487,0.07500000000000001,0.0,0.0
0.0,0.1220629183335666,0.0,0.0,0.0
0.0,0.11864145043214733,0.0,0.0,0.0
0.0,0.07486210374431164,0.05,0.0,0.0
0.0,0.10259577938529398,0.05,0.0,0.0
0.0,0.05096973762311736,0.0625,0.0,0.0
0.0,0.07783960119872022,0.0625,0.0,0.0
0.0,0.02513258791338716,0.0,0.0,0.0
0.0,0.10264403704257774,0.125,0.0,0.0
0.0,0.14254346808479837,0.1375,0.0,0.0
0.0,0.18566651063357478,0.1375,0.0,0.0
0.0,0.08216348729134597,0.037500000000000006,0.0,0.0
1.0,0.022468765231323084,0.0125,0.0,0.0
1.0,0.039146611588593824,0.0,0.0,0.0
1.0,0.033022714879283474,0.025,0.0,0.0
1.0,0.057609991265364036,0.0125,0.0,0.0
1.0,0.04284314813653057,0.05,0.0,0.6000000000000001
0.0,0.03926725573180325,0.0,0.0,0.0
1.0,0.03968709735017204,0.05,0.0,0.2
1.0,0.03840344366642377,0.025,0.0,0.0
1.0,0.024109525578971246,0.0,0.0,0.0
1.0,0.049811553848306885,0.0,0.0,0.0
0.0,0.025571732594669463,0.025,0.0,0.2
0.0,0.05033756231269997,0.0625,0.0,0.2
1.0,0.0741141100564132,0.037500000000000006,0.0,1.0
0.0,0.08107769000246115,0.037500000000000006,0.30921052631578944,0.0
0.0,0.22014178099709972,0.08750000000000001,0.506578947368421,0.0
0.0,0.21163395601797116,0.125,0.3355263157894737,0.0
0.0,0.40201041400244186,0.2,0.3684210526315789,0.0
0.0,0.3568605498477471,0.07500000000000001,0.7960526315789473,0.0
0.0,0.27099570024273606,0.0625,0.1381578947368421,0.0
0.0,0.2491012011330898,0.1875,0.29605263157894735,0.0
0.0,0.2768445283055289,0.125,0.125,0.0
0.0,0.07328407835113238,0.08750000000000001,0.06578947368421052,0.0
0.0,0.21408061924225827,0.037500000000000006,0.039473684210526314,0.0
0.0,0.13187370005935692,0.037500000000000006,0.05263157894736842,0.0
